Date (d/m/y),Time,Coin,Quantity,Old value,New value,Avg ppc,Curr ppc
04/03/2021,13:42:19,ALGO,14.227869299999998,16.16,15.281027487523716,1.1605617456683168,1.0740207943520899
04/03/2021,13:42:19,BAT,43.2665957,22.52,29.406393271055013,0.5234065263765543,0.6796558128804899
04/03/2021,13:42:19,BTC,0.0005118000000000001,26.21,24.60305821079536,51196.03680970855,48071.626046884245
04/03/2021,13:42:19,ETH,0.036551,56.39,55.968249527686545,1561.1774313333394,1531.237162531437
04/03/2021,13:42:19,NMR,0.07442389999999999,3.0,2.9138617934724484,40.3096317,39.15223192378321
04/03/2021,13:42:19,NU,3.7644581,2.99,2.5054338511008867,0.794271,0.66554967130618
04/03/2021,13:42:19,USDC,1.850283,1.85,1.8507417464095224,1.0,1.00024793310511
04/03/2021,13:42:19,XLM,30.9688167,16.28,12.702253045419605,0.5276735176904176,0.41016268617778995
04/03/2021,13:42:23,ALGO,14.227869299999998,16.16,15.281027487523716,1.1605617456683168,1.07402079435209
04/03/2021,13:42:23,BAT,43.2665957,22.52,29.406393271055013,0.5234065263765543,0.6796558128804899
04/03/2021,13:42:23,BTC,0.0005118000000000001,26.21,24.60305821079536,51196.03680970855,48071.626046884245
04/03/2021,13:42:23,ETH,0.036551,56.39,55.968249527686545,1561.1774313333394,1531.237162531437
04/03/2021,13:42:23,NMR,0.07442389999999999,3.0,2.9138617934724484,40.309631700000004,39.15223192378321
04/03/2021,13:42:23,NU,3.7644580999999997,2.99,2.5054338511008867,0.794271,0.66554967130618
04/03/2021,13:42:23,USDC,1.8502830000000001,1.85,1.8507417464095224,1.0,1.00024793310511
04/03/2021,13:42:23,XLM,30.9688167,16.28,12.702253045419605,0.5276735176904176,0.41016268617779
04/03/2021,13:44:12,ALGO,14.227869299999998,16.16,15.31661829231707,1.1605617456683168,1.0765222795740101
04/03/2021,13:44:12,BAT,43.2665957,22.52,29.52231805766119,0.5234065263765543,0.68233512667282
04/03/2021,13:44:12,BTC,0.0005118000000000001,26.21,24.65661023942037,51196.03680970855,48176.26072571389
04/03/2021,13:44:12,ETH,0.036551,56.39,56.0992677908145,1561.1774313333394,1534.8216954615334
04/03/2021,13:44:12,NMR,0.07442389999999999,3.0,2.918490268713623,40.3096317,39.21442263457873
04/03/2021,13:44:12,NU,3.7644581,2.99,2.5166299638653205,0.794271,0.6685238345102901
04/03/2021,13:44:12,USDC,1.850283,1.85,1.8509260816385087,1.0,1.0003475585294301
04/03/2021,13:44:12,XLM,30.9688167,16.28,12.68939451980935,0.5276735176904176,0.40974747736517
04/03/2021,13:44:46,ALGO,14.227869299999998,16.16,15.31661829231707,1.1605617456683168,1.07652227957401
04/03/2021,13:44:46,BAT,43.2665957,22.52,29.52231805766119,0.5234065263765543,0.68233512667282
04/03/2021,13:44:46,BTC,0.0005118000000000001,26.21,24.65661023942037,51196.03680970855,48176.26072571389
04/03/2021,13:44:46,ETH,0.036551,56.39,56.0992677908145,1561.1774313333394,1534.8216954615334
04/03/2021,13:44:46,NMR,0.07442389999999999,3.0,2.918490268713623,40.309631700000004,39.21442263457873
04/03/2021,13:44:46,NU,3.7644580999999997,2.99,2.5166299638653205,0.794271,0.6685238345102901
04/03/2021,13:44:46,USDC,1.8502830000000001,1.85,1.8509260816385087,1.0,1.00034755852943
04/03/2021,13:44:46,XLM,30.9688167,16.28,12.68939451980935,0.5276735176904176,0.40974747736517
04/03/2021,16:28:48,ALGO,14.227869299999998,16.16,15.320052634366489,1.1605617456683168,1.07676366090645
04/03/2021,16:28:48,BAT,43.2665957,22.52,29.347783266499672,0.5234065263765543,0.6783011880571801
04/03/2021,16:28:48,BTC,0.0005118000000000001,26.21,24.645414244525266,51196.03680970855,48154.38500298018
04/03/2021,16:28:48,ETH,0.036551,56.39,55.6205836556312,1561.1774313333394,1521.7253606093186
04/03/2021,16:28:48,NMR,0.07442389999999999,3.0,2.9059436194016888,40.3096317,39.0458390302267
04/03/2021,16:28:48,NU,3.7644581,2.99,2.5347474374745405,0.794271,0.6733366052007701
04/03/2021,16:28:48,USDC,1.850283,1.85,1.850534569984214,1.0,1.00013596297659
04/03/2021,16:28:48,XLM,30.9688167,16.28,12.620192471026256,0.5276735176904176,0.40751290542613
04/03/2021,16:45:58,ALGO,14.227869299999998,16.16,15.382597750891268,1.1605617456683168,1.08115961895231
04/03/2021,16:45:58,BAT,43.2665957,22.52,29.605064106224926,0.5234065263765543,0.68424759626339
04/03/2021,16:45:58,BTC,0.0005118000000000001,26.21,24.691298439230355,51196.03680970855,48244.03759130588
04/03/2021,16:45:58,ETH,0.036551,56.39,55.803859995900325,1561.1774313333394,1526.7396239747293
04/03/2021,16:45:58,NMR,0.07442389999999999,3.0,2.933152136594988,40.309631700000004,39.41142746610952
04/03/2021,16:45:58,NU,3.7644580999999997,2.99,2.540874921054552,0.794271,0.67496432515866
04/03/2021,16:45:58,USDC,1.8502830000000001,1.85,1.8505656075156731,1.0,1.00015273745458
04/03/2021,16:45:58,XLM,30.9688167,16.28,12.61133360585804,0.5276735176904176,0.40722684783297
04/03/2021,16:45:59,ALGO,14.227869299999998,16.16,15.382597750891268,1.1605617456683168,1.08115961895231
04/03/2021,16:45:59,BAT,43.2665957,22.52,29.605064106224926,0.5234065263765543,0.68424759626339
04/03/2021,16:45:59,BTC,0.0005118000000000001,26.21,24.691298439230355,51196.03680970855,48244.03759130588
04/03/2021,16:45:59,ETH,0.036551,56.39,55.803859995900325,1561.1774313333394,1526.7396239747293
